instance,discriminatingPower,favouredSolverMiniZincScore,baseSolverMiniZincScore,instanceType,instanceResults,genInstance,genResults,status,iraceScore,totalTime,instanceHashValue
inst-22-285596038.dzn,inf,1.0,0.0,unsat,"{'status': 'ok', 'score': -99999, 'results': {'base': {'runs': [{'seed': None, 'status': 'UNK', 'time': 3.1232573986053467, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.484569, 'instanceType': 'unknown', 'answerStatus': 'unknown'}}]}, 'favoured': {'runs': [{'seed': None, 'status': 'C', 'time': 2.41750431060791, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.478448, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}}}",gen-inst-22.param,"{'status': 'sat', 'seed': 285596038, 'SRTime': 0, 'solverTime': 0.041474103927612305}",favouredSolverWins,-99999.0,6.006517171859741,02d5566a216bdd3804aab8566362e2a5
inst-7-1965286212.dzn,inf,1.0,0.0,sat,"{'status': 'ok', 'score': -99999, 'results': {'base': {'runs': [{'seed': None, 'status': 'UNK', 'time': 3.123873233795166, 'extra': {'objs': [(1.0160727500915527, 8.0), (2.4488937854766846, 6.0)], 'flattenStatus': 'ok', 'flattenTime': 0.573955, 'instanceType': 'unknown', 'answerStatus': 'unknown'}}]}, 'favoured': {'runs': [{'seed': None, 'status': 'C', 'time': 3.118600606918335, 'extra': {'objs': [(2.470750570297241, 12.0), (2.483579635620117, 10.0), (2.5013647079467773, 9.0), (2.5145156383514404, 8.0), (2.5274410247802734, 7.0), (2.7698111534118652, 6.0)], 'flattenStatus': 'ok', 'flattenTime': 0.554612, 'instanceType': 'sat', 'answerStatus': 'unknown'}}]}}}",gen-inst-7.param,"{'status': 'sat', 'seed': 1965286212, 'SRTime': 0.28263187408447266, 'solverTime': 0.026884078979492188}",favouredSolverWins,-99999.0,7.226096868515015,1adacc821708f2d42a693d77156de9af
inst-22-510416220.dzn,1.2160138929981863,0.548739291229336,0.45126070877066404,unsat,"{'status': 'ok', 'score': -1.2160138929981863, 'results': {'base': {'runs': [{'seed': None, 'status': 'C', 'time': 2.8171918392181396, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.485568, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'favoured': {'runs': [{'seed': None, 'status': 'C', 'time': 2.3167431354522705, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.494386, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}}}",gen-inst-22.param,"{'status': 'sat', 'seed': 510416220, 'SRTime': 0, 'solverTime': 0.0436549186706543}",favouredSolverWins,-1.2160138929981863,5.607210397720337,391b47efacdaf5366663b70843ba3669
inst-7-1222707704.dzn,inf,1.0,0.0,sat,"{'status': 'ok', 'score': -99999, 'results': {'base': {'runs': [{'seed': None, 'status': 'UNK', 'time': 3.1235604286193848, 'extra': {'objs': [(1.002040147781372, 5.0), (2.8106777667999268, 4.0)], 'flattenStatus': 'ok', 'flattenTime': 0.580283, 'instanceType': 'unknown', 'answerStatus': 'unknown'}}]}, 'favoured': {'runs': [{'seed': None, 'status': 'C', 'time': 2.9167087078094482, 'extra': {'objs': [(2.503535032272339, 10.0), (2.5187501907348633, 9.0), (2.5359928607940674, 8.0), (2.580504894256592, 7.0), (2.5899789333343506, 4.0)], 'flattenStatus': 'ok', 'flattenTime': 0.550704, 'instanceType': 'sat', 'answerStatus': 'unknown'}}]}}}",gen-inst-7.param,"{'status': 'sat', 'seed': 1222707704, 'SRTime': 0, 'solverTime': 0.04067730903625488}",favouredSolverWins,-99999.0,6.492355585098267,54691d43ccb3ce2ad012d779e7da0729
inst-22-1068608867.dzn,inf,1.0,0.0,sat,"{'status': 'ok', 'score': -99999, 'results': {'base': {'runs': [{'seed': None, 'status': 'UNK', 'time': 3.123382091522217, 'extra': {'objs': [(1.0823891162872314, 9.0), (1.2041175365447998, 8.0)], 'flattenStatus': 'ok', 'flattenTime': 0.486257, 'instanceType': 'unknown', 'answerStatus': 'unknown'}}]}, 'favoured': {'runs': [{'seed': None, 'status': 'C', 'time': 2.7173311710357666, 'extra': {'objs': [(1.952317476272583, 9.0), (2.1184165477752686, 8.0)], 'flattenStatus': 'ok', 'flattenTime': 0.480348, 'instanceType': 'sat', 'answerStatus': 'unknown'}}]}}}",gen-inst-22.param,"{'status': 'sat', 'seed': 1068608867, 'SRTime': 0, 'solverTime': 0.04204535484313965}",favouredSolverWins,-99999.0,6.295783519744873,5865f60aebeab93ff0d59d69a4d5762c
inst-34-2073674354.dzn,1.064411433098826,0.515600435084333,0.48439956491566705,unsat,"{'status': 'ok', 'score': -1.064411433098826, 'results': {'base': {'runs': [{'seed': None, 'status': 'C', 'time': 1.8270165920257568, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.840618, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'favoured': {'runs': [{'seed': None, 'status': 'C', 'time': 1.7164571285247803, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.789072, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}}}",gen-inst-34.param,"{'status': 'sat', 'seed': 2073674354, 'SRTime': 0, 'solverTime': 0.04220724105834961}",favouredSolverWins,-1.064411433098826,3.996471405029297,5b306415fbce65d6cadf4a014dea2ad8
inst-31-1222707704.dzn,1.1167891056859993,0.5275863819811542,0.47241361801884585,unsat,"{'status': 'ok', 'score': -1.116789105685999, 'results': {'base': {'runs': [{'seed': None, 'status': 'C', 'time': 1.9174704551696777, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.777491, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'favoured': {'runs': [{'seed': None, 'status': 'C', 'time': 1.716949462890625, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.781036, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}}}",gen-inst-31.param,"{'status': 'sat', 'seed': 1222707704, 'SRTime': 0, 'solverTime': 0.04067850112915039}",favouredSolverWins,-1.116789105685999,4.090684413909912,6291f5491d4791715ca31f290876aaa4
inst-22-601225362.dzn,inf,1.0,0.0,sat,"{'status': 'ok', 'score': -99999, 'results': {'base': {'runs': [{'seed': None, 'status': 'UNK', 'time': 3.1220438480377197, 'extra': {'objs': [(1.133995532989502, 9.0), (1.2575557231903076, 8.0)], 'flattenStatus': 'ok', 'flattenTime': 0.474447, 'instanceType': 'unknown', 'answerStatus': 'unknown'}}]}, 'favoured': {'runs': [{'seed': None, 'status': 'C', 'time': 3.0183255672454834, 'extra': {'objs': [(2.261171817779541, 9.0), (2.271544933319092, 8.0)], 'flattenStatus': 'ok', 'flattenTime': 0.477396, 'instanceType': 'sat', 'answerStatus': 'unknown'}}]}}}",gen-inst-22.param,"{'status': 'sat', 'seed': 601225362, 'SRTime': 0, 'solverTime': 0.04220223426818848}",favouredSolverWins,-99999.0,6.598670482635498,6623c152a5ee20d6334da9bb0b4b09b0
inst-34-1409462646.dzn,1.123618991095648,0.5291057368609867,0.4708942631390133,unsat,"{'status': 'ok', 'score': -1.123618991095648, 'results': {'base': {'runs': [{'seed': None, 'status': 'C', 'time': 1.8172528743743896, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.778978, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'favoured': {'runs': [{'seed': None, 'status': 'C', 'time': 1.617321252822876, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.775877, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}}}",gen-inst-34.param,"{'status': 'sat', 'seed': 1409462646, 'SRTime': 0, 'solverTime': 0.043463706970214844}",favouredSolverWins,-1.123618991095648,3.9018313884735107,7f1cd9a59c694b3244c394ba5d1cd650
inst-7-510416220.dzn,inf,1.0,0.0,sat,"{'status': 'ok', 'score': -99999, 'results': {'base': {'runs': [{'seed': None, 'status': 'UNK', 'time': 3.123298406600952, 'extra': {'objs': [(1.0060617923736572, 5.0), (2.0716376304626465, 4.0)], 'flattenStatus': 'ok', 'flattenTime': 0.583952, 'instanceType': 'unknown', 'answerStatus': 'unknown'}}]}, 'favoured': {'runs': [{'seed': None, 'status': 'C', 'time': 2.8180644512176514, 'extra': {'objs': [(2.5009326934814453, 7.0), (2.515366792678833, 6.0), (2.5540177822113037, 5.0), (2.5644192695617676, 4.0)], 'flattenStatus': 'ok', 'flattenTime': 0.559243, 'instanceType': 'sat', 'answerStatus': 'unknown'}}]}}}",gen-inst-7.param,"{'status': 'sat', 'seed': 510416220, 'SRTime': 0, 'solverTime': 0.04236173629760742}",favouredSolverWins,-99999.0,6.398601531982422,811eb0c70313ae760a08ce0e498ceee5
inst-34-61910261.dzn,1.0001989675516225,0.5000497369398871,0.4999502630601129,unsat,"{'status': 'ok', 'score': -1.0001989675516225, 'results': {'base': {'runs': [{'seed': None, 'status': 'C', 'time': 1.6167995929718018, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.769637, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'favoured': {'runs': [{'seed': None, 'status': 'C', 'time': 1.6164779663085938, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.793381, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}}}",gen-inst-34.param,"{'status': 'sat', 'seed': 61910261, 'SRTime': 0, 'solverTime': 0.04240059852600098}",favouredSolverWins,-1.0001989675516225,3.7020421028137207,96e955e7c0d5268a6742e4bfd7095fbb
inst-7-61910261.dzn,inf,1.0,0.0,sat,"{'status': 'ok', 'score': -99999, 'results': {'base': {'runs': [{'seed': None, 'status': 'S', 'time': 3.130383253097534, 'extra': {'objs': [(1.0084915161132812, 8.0), (1.7521710395812988, 7.0), (1.8363614082336426, 6.0)], 'flattenStatus': 'ok', 'flattenTime': 0.571395, 'instanceType': 'sat', 'answerStatus': 'unknown'}}]}, 'favoured': {'runs': [{'seed': None, 'status': 'C', 'time': 2.916548013687134, 'extra': {'objs': [(2.4691076278686523, 9.0), (2.4898681640625, 8.0), (2.542121648788452, 7.0), (2.5639965534210205, 6.0)], 'flattenStatus': 'ok', 'flattenTime': 0.562347, 'instanceType': 'sat', 'answerStatus': 'unknown'}}]}}}",gen-inst-7.param,"{'status': 'sat', 'seed': 61910261, 'SRTime': 0, 'solverTime': 0.036012887954711914}",favouredSolverWins,-99999.0,6.499590873718262,997e7df319356a96849380a4d1033902
inst-7-1409462646.dzn,inf,1.0,0.0,sat,"{'status': 'ok', 'score': -99999, 'results': {'base': {'runs': [{'seed': None, 'status': 'UNK', 'time': 3.1229124069213867, 'extra': {'objs': [(0.9905169010162354, 5.0), (1.851790189743042, 4.0)], 'flattenStatus': 'ok', 'flattenTime': 0.578896, 'instanceType': 'unknown', 'answerStatus': 'unknown'}}]}, 'favoured': {'runs': [{'seed': None, 'status': 'C', 'time': 2.916208028793335, 'extra': {'objs': [(2.6082680225372314, 11.0), (2.6227102279663086, 9.0), (2.6333401203155518, 8.0), (2.6467392444610596, 7.0), (2.6703975200653076, 6.0), (2.696287155151367, 5.0), (2.711790084838867, 4.0)], 'flattenStatus': 'ok', 'flattenTime': 0.576293, 'instanceType': 'sat', 'answerStatus': 'unknown'}}]}}}",gen-inst-7.param,"{'status': 'sat', 'seed': 1409462646, 'SRTime': 0, 'solverTime': 0.04166412353515625}",favouredSolverWins,-99999.0,6.504905700683594,9cfc5d21f2b50904966bac1b6097fd72
inst-34-510416220.dzn,1.0617910426632953,0.5149847975339629,0.48501520246603713,unsat,"{'status': 'ok', 'score': -1.0617910426632953, 'results': {'base': {'runs': [{'seed': None, 'status': 'C', 'time': 1.7167704105377197, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.771858, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'favoured': {'runs': [{'seed': None, 'status': 'C', 'time': 1.6168627738952637, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.774239, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}}}",gen-inst-34.param,"{'status': 'sat', 'seed': 510416220, 'SRTime': 0, 'solverTime': 0.04220843315124512}",favouredSolverWins,-1.0617910426632953,3.8103201389312744,a6e77cb774aa678e25c6beaba636feee
inst-31-2073674354.dzn,1.0549213422403125,0.5133633684928388,0.4866366315071612,unsat,"{'status': 'ok', 'score': -1.0549213422403125, 'results': {'base': {'runs': [{'seed': None, 'status': 'C', 'time': 1.9167768955230713, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.776584, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'favoured': {'runs': [{'seed': None, 'status': 'C', 'time': 1.8169856071472168, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.773583, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}}}",gen-inst-31.param,"{'status': 'sat', 'seed': 2073674354, 'SRTime': 0, 'solverTime': 0.04305315017700195}",favouredSolverWins,-1.0549213422403125,4.186816215515137,abfb55878bd8c741b5223707fceb1349
inst-34-735527639.dzn,1.000364369687627,0.500091075829271,0.49990892417072896,unsat,"{'status': 'ok', 'score': -1.000364369687627, 'results': {'base': {'runs': [{'seed': None, 'status': 'C', 'time': 1.6174423694610596, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.781303, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'favoured': {'runs': [{'seed': None, 'status': 'C', 'time': 1.6168532371520996, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.776209, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}}}",gen-inst-34.param,"{'status': 'sat', 'seed': 735527639, 'SRTime': 0, 'solverTime': 0.04252290725708008}",favouredSolverWins,-1.000364369687627,3.697133779525757,bc474aa0d2f69ee4c536c326aca1163e
inst-31-1489266180.dzn,1.175186223210174,0.5402692471432702,0.4597307528567298,unsat,"{'status': 'ok', 'score': -1.175186223210174, 'results': {'base': {'runs': [{'seed': None, 'status': 'C', 'time': 2.018120050430298, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.778535, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'favoured': {'runs': [{'seed': None, 'status': 'C', 'time': 1.7172768115997314, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.783991, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}}}",gen-inst-31.param,"{'status': 'sat', 'seed': 1489266180, 'SRTime': 0, 'solverTime': 0.04168081283569336}",favouredSolverWins,-1.175186223210174,4.204891681671143,c1e5b26c177d2308cb816dad2e259e3e
inst-22-1409462646.dzn,1.3021469584712109,0.5656228650737088,0.43437713492629115,unsat,"{'status': 'ok', 'score': -1.302146958471211, 'results': {'base': {'runs': [{'seed': None, 'status': 'C', 'time': 3.0167741775512695, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.476789, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'favoured': {'runs': [{'seed': None, 'status': 'C', 'time': 2.3167693614959717, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.484881, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}}}",gen-inst-22.param,"{'status': 'sat', 'seed': 1409462646, 'SRTime': 0, 'solverTime': 0.04220986366271973}",favouredSolverWins,-1.302146958471211,5.790083646774292,cdcf9e78f497f4a1d34a6e9069862ac7
