instance,instanceType,avgSolvingTime,instanceResults,genInstance,genResults,status,iraceScore,totalTime,instanceHashValue
inst-28-1489266180.dzn,unsat,0.11818337440490723,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.11818337440490723, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.0482784, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-28.param,"{'status': 'sat', 'seed': 1489266180, 'SRTime': 0, 'solverTime': 0.043956756591796875}",graded,-1.0,0.5875380039215088,0353ec75cf4a43ef9ad57b450a488517
inst-13-510416220.dzn,unsat,0.11695528030395508,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.11695528030395508, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.0486431, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-13.param,"{'status': 'sat', 'seed': 510416220, 'SRTime': 0, 'solverTime': 0.04430508613586426}",graded,-1.0,0.5892529487609863,0438e17a03ec32281b82d42aba2fb05e
inst-13-813778292.dzn,unsat,0.11725139617919922,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.11725139617919922, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.0489345, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-13.param,"{'status': 'sat', 'seed': 813778292, 'SRTime': 0, 'solverTime': 0.04435110092163086}",graded,-1.0,0.5836012363433838,07bcd3658602f3fd6ad8eb3587fadbfd
inst-17-1489266180.dzn,unsat,0.8177063465118408,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.8177063465118408, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.445676, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-17.param,"{'status': 'sat', 'seed': 1489266180, 'SRTime': 0, 'solverTime': 0.04389810562133789}",graded,-1.0,1.2981657981872559,0df2118039521471b58178a382a06376
inst-7-1068608867.dzn,sat,3.3200976848602295,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 3.3200976848602295, 'extra': {'objs': [(1.0486059188842773, 5.0), (2.758978843688965, 4.0)], 'flattenStatus': 'ok', 'flattenTime': 0.60319, 'instanceType': 'sat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-7.param,"{'status': 'sat', 'seed': 1068608867, 'SRTime': 0, 'solverTime': 0.043969154357910156}",graded,-1.0,3.8161888122558594,0e31dc9e25afa3e2700e086fd609635b
inst-7-1965286212.dzn,sat,5.119660139083862,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 5.119660139083862, 'extra': {'objs': [(1.0472416877746582, 8.0), (1.406221866607666, 7.0), (1.4878530502319336, 6.0)], 'flattenStatus': 'ok', 'flattenTime': 0.590411, 'instanceType': 'sat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-7.param,"{'status': 'sat', 'seed': 1965286212, 'SRTime': 0.2673509120941162, 'solverTime': 0.027518272399902344}",graded,-1.0,6.062598466873169,1adacc821708f2d42a693d77156de9af
inst-28-735527639.dzn,unsat,0.11682724952697754,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.11682724952697754, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.0482007, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-28.param,"{'status': 'sat', 'seed': 735527639, 'SRTime': 0, 'solverTime': 0.04483628273010254}",graded,-1.0,0.5941011905670166,2131272a768f22d369824f20b7fe0072
inst-2-1965286212.dzn,unsat,3.0172975063323975,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 3.0172975063323975, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 1.54831, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-2.param,"{'status': 'sat', 'seed': 1965286212, 'SRTime': 0.31134676933288574, 'solverTime': 0.02764272689819336}",graded,-1.0,4.001374006271362,2188f183b0be3f9543b3b8e289638655
inst-17-1965286212.dzn,unsat,0.8182311058044434,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.8182311058044434, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.420745, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-17.param,"{'status': 'sat', 'seed': 1965286212, 'SRTime': 0, 'solverTime': 0.04367256164550781}",graded,-1.0,1.2883424758911133,25d7ce5cefb8274301bd62e3217fccf9
inst-9-1068608867.dzn,sat,5.130633115768433,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'S', 'time': 5.130633115768433, 'extra': {'objs': [(1.1352849006652832, 12.0)], 'flattenStatus': 'ok', 'flattenTime': 0.418066, 'instanceType': 'sat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-9.param,"{'status': 'sat', 'seed': 1068608867, 'SRTime': 0.2692680358886719, 'solverTime': 0.02754974365234375}",graded,-1.0,6.110127210617065,2767b2a2fc64eccb64c4d1cae8ee2027
